22:07:36.632 [main] INFO  com.business.Utilities.Base - chrome launched
22:08:24.136 [main] INFO  com.business.Utilities.Base - browser closed
22:10:47.030 [main] INFO  com.business.Utilities.Base - chrome launched
22:11:34.885 [main] INFO  com.business.Utilities.Base - browser closed
22:12:28.843 [main] INFO  com.business.Utilities.Base - chrome launched
22:13:15.595 [main] INFO  com.business.Utilities.Base - browser closed
23:18:32.089 [main] INFO  com.business.Utilities.Base - chrome launched
23:19:12.604 [main] INFO  com.business.Utilities.Base - browser closed
23:19:34.488 [main] INFO  com.business.Utilities.Base - chrome launched
23:19:52.161 [main] INFO  com.business.Utilities.Base - browser closed
23:20:07.928 [main] INFO  com.business.Utilities.Base - chrome launched
23:20:23.376 [main] INFO  com.business.Utilities.Base - browser closed
23:20:42.197 [main] INFO  com.business.Utilities.Base - chrome launched
23:20:55.682 [main] INFO  com.business.Utilities.Base - browser closed
23:21:09.860 [main] INFO  com.business.Utilities.Base - chrome launched
23:21:28.303 [main] INFO  com.business.Utilities.Base - browser closed
